id,name,total,over_votes,under_votes,Write-in,Thomas J. Smith,Amir Hassan,Al Lemmo
492900003009,"City of Flint, Precinct 9",5,,,0,3,2,0
492900003010,"City of Flint, Precinct 10",8,,,0,2,2,4
492900004011,"City of Flint, Precinct 11",23,,,0,15,7,1
492900004012,"City of Flint, Precinct 12",47,,,0,27,11,9
492900005013,"City of Flint, Precinct 13",1,,,0,0,1,0
492900005014,"City of Flint, Precinct 14",8,,,0,4,4,0
492900005015,"City of Flint, Precinct 15",22,,,0,11,6,5
492900006016,"City of Flint, Precinct 16",13,,,0,9,2,2
492900006017,"City of Flint, Precinct 17",35,,,0,26,4,5
492900006018,"City of Flint, Precinct 18",4,,,0,3,1,0
492900007019,"City of Flint, Precinct 19",1,,,1,0,0,0
492900007020,"City of Flint, Precinct 20",26,,,0,12,9,5
492900007021,"City of Flint, Precinct 21",17,,,0,8,6,3
492900008022,"City of Flint, Precinct 22",2,,,0,1,0,1
492900008023,"City of Flint, Precinct 23",53,,,0,30,15,8
492900008024,"City of Flint, Precinct 24",23,,,0,11,8,4
492900009025,"City of Flint, Precinct 25",1,,,0,0,0,1
492900009026,"City of Flint, Precinct 26",10,,,0,6,1,3
492900009027,"City of Flint, Precinct 27",1,,,0,1,0,0
492900009028,"City of Flint, Precinct 28",17,,,0,6,5,6
492900009029,"City of Flint, Precinct 29",23,,,0,20,2,1
492902000001,"Flint Township, Precinct 1",113,,,0,48,36,29
492902000002,"Flint Township, Precinct 2",59,,,0,30,14,15
492902000003,"Flint Township, Precinct 3",209,,,0,122,52,35
492902000004,"Flint Township, Precinct 4",35,,,0,13,16,6
492902000005,"Flint Township, Precinct 5",111,,,0,37,39,35
492902000006,"Flint Township, Precinct 6",24,,,0,17,4,3
492902000007,"Flint Township, Precinct 7",45,,,0,19,17,9
492902000008,"Flint Township, Precinct 8",113,,,0,54,33,26
492920000001,"City of Flushing, Precinct 1",71,,,0,40,16,15
492920000002,"City of Flushing, Precinct 2",84,,,0,41,32,11
492920000003,"City of Flushing, Precinct 3",83,,,0,35,29,19
492920000004,"City of Flushing, Precinct 4",101,,,0,56,30,15
492922000001,"Flushing Township, Precinct 1",103,,,1,48,36,18
492922000002,"Flushing Township, Precinct 2",99,,,0,59,22,18
492922000003,"Flushing Township, Precinct 3",150,,,0,86,44,20
492922000004,"Flushing Township, Precinct 4",100,,,0,39,38,23
492942000001,"Forest Township, Precinct 1",279,,,0,142,99,38
493122000001,"Gaines Township, Precinct 1",40,,,0,19,15,6
493122000002,"Gaines Township, Precinct 2",10,,,0,2,4,4
493122000003,"Gaines Township, Precinct 3",14,,,0,5,5,4
493180000001,"Genesee Township, Precinct 1",64,,,0,52,8,4
493180000002,"Genesee Township, Precinct 2",13,,,0,6,3,4
493180000003,"Genesee Township, Precinct 3",96,,,0,60,16,20
493180000004,"Genesee Township, Precinct 4",77,,,0,42,22,13
493180000005,"Genesee Township, Precinct 5",73,,,0,39,23,11
493180000006,"Genesee Township, Precinct 6",69,,,0,42,17,10
493180000007,"Genesee Township, Precinct 7",46,,,0,25,12,9
493328000001,"City of Grand Blanc, Precinct 1",161,,,0,53,82,26
493328000002,"City of Grand Blanc, Precinct 2",151,,,1,72,43,35
493330000001,"Grand Blanc Township, Precinct 1",124,,,0,61,43,20
493330000002,"Grand Blanc Township, Precinct 2",40,,,0,24,13,3
493330000003,"Grand Blanc Township, Precinct 3",189,,,1,93,53,42
493330000004,"Grand Blanc Township, Precinct 4",201,,,0,115,53,33
493330000005,"Grand Blanc Township, Precinct 5",267,,,1,97,109,60
493330000006,"Grand Blanc Township, Precinct 6",171,,,0,68,65,38
493330000007,"Grand Blanc Township, Precinct 7",258,,,0,145,81,32
493330000008,"Grand Blanc Township, Precinct 8",234,,,2,99,79,54
493330000009,"Grand Blanc Township, Precinct 9",112,,,0,63,31,18
493330000010,"Grand Blanc Township, Precinct 10",69,,,0,40,17,12
494782000001,"City of Linden, Precinct 1",278,,,0,129,110,39
495528000001,"City of Montrose, Precinct 1",9,,,0,4,0,5
495530000001,"Montrose Township, Precinct 1",49,,,0,28,13,8
495530000002,"Montrose Township, Precinct 2",45,,,0,26,16,3
495530000003,"Montrose Township, Precinct 3",58,,,0,39,12,7
495530000004,"Montrose Township, Precinct 4",84,,,0,42,37,5
495596000001,"City of Mount Morris, Precinct 1",9,,,0,6,1,2
495598000001,"Mount Morris Township, Precinct 1",17,,,0,5,6,6
495598000002,"Mount Morris Township, Precinct 2",58,,,0,25,20,13
495598000003,"Mount Morris Township, Precinct 3",33,,,0,17,12,4
495598000004,"Mount Morris Township, Precinct 4",76,,,1,41,18,16
495598000005,"Mount Morris Township, Precinct 5",29,,,1,10,14,4
495598000006,"Mount Morris Township, Precinct 6",21,,,1,13,5,2
495598000007,"Mount Morris Township, Precinct 7",9,,,0,5,3,1
495598000008,"Mount Morris Township, Precinct 8",10,,,0,8,0,2
495598000009,"Mount Morris Township, Precinct 9",11,,,0,5,6,0
495598000010,"Mount Morris Township, Precinct 10",2,,,0,0,2,0
495616000001,"Mundy Township, Precinct 1",171,,,1,90,54,26
495616000002,"Mundy Township, Precinct 2",106,,,0,48,30,28
495616000003,"Mundy Township, Precinct 3",184,,,0,79,58,47
495616000004,"Mundy Township, Precinct 4",116,,,0,63,34,19
495616000005,"Mundy Township, Precinct 5",102,,,0,42,32,28
495616000006,"Mundy Township, Precinct 6",83,,,0,42,25,16
495616000007,"Mundy Township, Precinct 7",85,,,0,42,29,14
496818000001,"Richfield Township, Precinct 1",320,,,1,167,100,52
496818000002,"Richfield Township, Precinct 2",149,,,0,72,53,24
497770000001,"City of Swartz Creek, Precinct 1",12,,,0,4,7,1
497770000002,"City of Swartz Creek, Precinct 2",10,,,0,4,4,2
497770000003,"City of Swartz Creek, Precinct 3",13,,,0,5,7,1
497770000004,"City of Swartz Creek, Precinct 4",11,,,0,7,3,1
497946000001,"Thetford Township, Precinct 1",115,,,0,59,30,26
497946000003,"Thetford Township, Precinct 2",117,,,0,58,32,27
498238000001,"Vienna Township, Precinct 1",166,,,0,96,49,21
498238000002,"Vienna Township, Precinct 2",145,,,0,66,44,35
498238000003,"Vienna Township, Precinct 3",100,,,0,54,26,20
498238000004,"Vienna Township, Precinct 4",117,,,0,74,27,16
498238000005,"Vienna Township, Precinct 5",130,,,0,61,55,14
