id,name,total,over_votes,under_votes,Write-in,Thomas J. Smith,Amir Hassan,Al Lemmo
492900002006,"City of Flint, Precinct 6",3,,,0,3,0,0
492900002007,"City of Flint, Precinct 7",1,,,0,1,0,0
492900003008,"City of Flint, Precinct 8",0,,,0,0,0,0
492900003009,"City of Flint, Precinct 9",5,,,0,3,2,0
492900003010,"City of Flint, Precinct 10",8,,,0,2,2,4
492900004011,"City of Flint, Precinct 11",21,,,0,13,7,1
492900004012,"City of Flint, Precinct 12",42,,,0,26,7,9
492900005013,"City of Flint, Precinct 13",1,,,0,0,1,0
492900005014,"City of Flint, Precinct 14",5,,,0,3,2,0
492900005015,"City of Flint, Precinct 15",16,,,0,10,4,2
492900006016,"City of Flint, Precinct 16",13,,,0,9,2,2
492900006017,"City of Flint, Precinct 17",32,,,0,24,3,5
492900006018,"City of Flint, Precinct 18",4,,,0,3,1,0
492900007019,"City of Flint, Precinct 19",1,,,1,0,0,0
492900007020,"City of Flint, Precinct 20",25,,,0,11,9,5
492900007021,"City of Flint, Precinct 21",13,,,0,8,3,2
492900008022,"City of Flint, Precinct 22",2,,,0,1,0,1
492900008023,"City of Flint, Precinct 23",45,,,0,24,15,6
492900008024,"City of Flint, Precinct 24",21,,,0,9,8,4
492900009025,"City of Flint, Precinct 25",0,,,0,0,0,0
492900009026,"City of Flint, Precinct 26",8,,,0,5,0,3
492900009027,"City of Flint, Precinct 27",1,,,0,1,0,0
492900009028,"City of Flint, Precinct 28",16,,,0,5,5,6
492900009029,"City of Flint, Precinct 29",19,,,0,16,2,1
492902000001,"Flint Township, Precinct 1",93,,,0,42,29,22
492902000002,"Flint Township, Precinct 2",55,,,0,30,13,12
492902000003,"Flint Township, Precinct 3",177,,,0,103,42,32
492902000004,"Flint Township, Precinct 4",24,,,0,8,11,5
492902000005,"Flint Township, Precinct 5",102,,,0,33,34,35
492902000006,"Flint Township, Precinct 6",22,,,0,16,3,3
492902000007,"Flint Township, Precinct 7",30,,,0,13,9,8
492902000008,"Flint Township, Precinct 8",101,,,0,50,28,23
492920000001,"City of Flushing, Precinct 1",62,,,0,36,13,13
492920000002,"City of Flushing, Precinct 2",69,,,0,34,25,10
492920000003,"City of Flushing, Precinct 3",66,,,0,26,24,16
492920000004,"City of Flushing, Precinct 4",91,,,0,51,30,10
492922000001,"Flushing Township, Precinct 1",92,,,0,46,28,18
492922000002,"Flushing Township, Precinct 2",81,,,0,49,15,17
492922000003,"Flushing Township, Precinct 3",137,,,0,78,41,18
492922000004,"Flushing Township, Precinct 4",93,,,0,37,36,20
492942000001,"Forest Township, Precinct 1",232,,,0,122,80,30
493122000001,"Gaines Township, Precinct 1",0,,,0,0,0,0
493122000002,"Gaines Township, Precinct 2",0,,,0,0,0,0
493122000003,"Gaines Township, Precinct 3",0,,,0,0,0,0
493180000001,"Genesee Township, Precinct 1",57,,,0,46,8,3
493180000002,"Genesee Township, Precinct 2",11,,,0,6,2,3
493180000003,"Genesee Township, Precinct 3",91,,,0,55,16,20
493180000004,"Genesee Township, Precinct 4",56,,,0,30,14,12
493180000005,"Genesee Township, Precinct 5",67,,,0,36,20,11
493180000006,"Genesee Township, Precinct 6",60,,,0,36,15,9
493180000007,"Genesee Township, Precinct 7",40,,,0,23,8,9
493328000001,"City of Grand Blanc, Precinct 1",147,,,0,48,76,23
493328000002,"City of Grand Blanc, Precinct 2",137,,,1,68,36,32
493330000001,"Grand Blanc Township, Precinct 1",103,,,0,47,37,19
493330000002,"Grand Blanc Township, Precinct 2",35,,,0,21,11,3
493330000003,"Grand Blanc Township, Precinct 3",166,,,1,85,44,36
493330000004,"Grand Blanc Township, Precinct 4",164,,,0,91,45,28
493330000005,"Grand Blanc Township, Precinct 5",249,,,1,91,100,57
493330000006,"Grand Blanc Township, Precinct 6",151,,,0,65,51,35
493330000007,"Grand Blanc Township, Precinct 7",213,,,0,117,68,28
493330000008,"Grand Blanc Township, Precinct 8",206,,,2,87,68,49
493330000009,"Grand Blanc Township, Precinct 9",103,,,0,57,28,18
493330000010,"Grand Blanc Township, Precinct 10",67,,,0,40,15,12
494782000001,"City of Linden, Precinct 1",209,,,0,90,84,35
495528000001,"City of Montrose, Precinct 1",0,,,0,0,0,0
495530000001,"Montrose Township, Precinct 1",38,,,0,19,12,7
495530000002,"Montrose Township, Precinct 2",30,,,0,19,8,3
495530000003,"Montrose Township, Precinct 3",46,,,0,32,8,6
495530000004,"Montrose Township, Precinct 4",63,,,0,33,26,4
495596000001,"City of Mount Morris, Precinct 1",0,,,0,0,0,0
495598000001,"Mount Morris Township, Precinct 1",16,,,0,4,6,6
495598000002,"Mount Morris Township, Precinct 2",51,,,0,20,18,13
495598000003,"Mount Morris Township, Precinct 3",30,,,0,14,12,4
495598000004,"Mount Morris Township, Precinct 4",68,,,1,34,17,16
495598000005,"Mount Morris Township, Precinct 5",26,,,1,9,13,3
495598000006,"Mount Morris Township, Precinct 6",20,,,1,13,4,2
495598000007,"Mount Morris Township, Precinct 7",8,,,0,4,3,1
495598000008,"Mount Morris Township, Precinct 8",10,,,0,8,0,2
495598000009,"Mount Morris Township, Precinct 9",8,,,0,4,4,0
495598000010,"Mount Morris Township, Precinct 10",2,,,0,0,2,0
495616000001,"Mundy Township, Precinct 1",153,,,1,81,46,25
495616000002,"Mundy Township, Precinct 2",88,,,0,41,23,24
495616000003,"Mundy Township, Precinct 3",159,,,0,72,46,41
495616000004,"Mundy Township, Precinct 4",108,,,0,60,31,17
495616000005,"Mundy Township, Precinct 5",88,,,0,36,26,26
495616000006,"Mundy Township, Precinct 6",76,,,0,38,23,15
495616000007,"Mundy Township, Precinct 7",73,,,0,40,19,14
496818000001,"Richfield Township, Precinct 1",263,,,1,137,78,47
496818000002,"Richfield Township, Precinct 2",121,,,0,54,49,18
497770000001,"City of Swartz Creek, Precinct 1",0,,,0,0,0,0
497770000002,"City of Swartz Creek, Precinct 2",0,,,0,0,0,0
497770000003,"City of Swartz Creek, Precinct 3",0,,,0,0,0,0
497770000004,"City of Swartz Creek, Precinct 4",0,,,0,0,0,0
497946000001,"Thetford Township, Precinct 1",87,,,0,47,21,19
497946000003,"Thetford Township, Precinct 2",85,,,0,40,25,20
498238000001,"Vienna Township, Precinct 1",141,,,0,84,41,16
498238000002,"Vienna Township, Precinct 2",129,,,0,61,36,32
498238000003,"Vienna Township, Precinct 3",91,,,0,52,20,19
498238000004,"Vienna Township, Precinct 4",98,,,0,61,24,13
498238000005,"Vienna Township, Precinct 5",114,,,0,55,46,13
